"Cluster ID","URL","Page type","Parent hub","Primary keyword hypothesis","Secondary keyword hypotheses","Search intent","Funnel stage","Conversion role","Geographic modifier","Product/category modifier","Condition modifier","Existing title","Existing H1","Competing URLs","Cannibalization risk","Current internal links in","Current internal links out","Recommended action","Evidence status","GSC validation required","Priority","Notes"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อ iMac และ Mac mini โคราช ประเมินผ่าน LINE","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อ iMac และ Mac mini โคราช | ประเมินผ่าน LINE | WINNER IT","รับซื้อ iMac และ Mac mini โคราช ประเมินผ่าน LINE","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","2","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อ iPad โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อ iPad โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT","รับซื้อ iPad โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","4","25","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อ iPhone โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อ iPhone โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT","รับซื้อ iPhone โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-macbook-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","88","27","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"MOBILE-APPLE","/รับซื้อ-macbook-โคราช","Product category","/รับซื้อโทรศัพท์มือถือ-โคราช","รับซื้อ MacBook โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","mobile apple; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","MOBILE-APPLE","none","รับซื้อ MacBook โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT","รับซื้อ MacBook โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-apple-watch-โคราช | /รับซื้อ-imac-mac-mini-โคราช | /รับซื้อ-ipad-โคราช | /รับซื้อ-iphone-โคราช | /รับซื้อแท็บเล็ต-โคราช | /รับซื้อโทรศัพท์-android-โคราช | /รับซื้อโทรศัพท์-oppo-โคราช | /รับซื้อโทรศัพท์-samsung-โคราช | /รับซื้อโทรศัพท์-vivo-โคราช | /รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช | /รับซื้อโทรศัพท์จอแตก-โคราช | /รับซื้อโทรศัพท์มือถือ-โคราช","candidate","4","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"GAMING","/รับซื้อ-nintendo-switch-โคราช","Product category","/รับซื้อเครื่องเกม-โคราช","รับซื้อ Nintendo Switch โคราช","gaming; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","GAMING","none","รับซื้อ Nintendo Switch โคราช ประเมินเครื่องเกมมือสอง | WINNER IT","รับซื้อ Nintendo Switch โคราช","/รับซื้อ-playstation-โคราช | /รับซื้อเครื่องเกม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"GAMING","/รับซื้อ-playstation-โคราช","Product category","/รับซื้อเครื่องเกม-โคราช","รับซื้อ PlayStation โคราช","gaming; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","GAMING","none","รับซื้อ PlayStation โคราช PS5 PS4 มือสอง | WINNER IT","รับซื้อ PlayStation โคราช","/รับซื้อ-nintendo-switch-โคราช | /รับซื้อเครื่องเกม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อ-server-network-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อ Server Network โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อ Server Network โคราช อุปกรณ์เครือข่ายมือสอง | WINNER IT","รับซื้อ Server Network โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อแรม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อ-ssd-hdd-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อ SSD HDD โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อ SSD HDD โคราช ฮาร์ดดิสก์และ SSD มือสอง | WINNER IT","รับซื้อ SSD HDD โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-server-network-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อแรม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CAMERA","/รับซื้อกล้อง-โคราช","Product category","/รับซื้อกล้อง-โคราช","รับซื้อกล้อง โคราช","camera; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","CAMERA","none","รับซื้อกล้อง โคราช กล้อง DSLR Mirrorless มือสอง | WINNER IT","รับซื้อกล้อง โคราช","/รับซื้อเลนส์กล้อง-โคราช","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อการ์ดจอ-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อการ์ดจอ โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อการ์ดจอ โคราช ประเมิน GPU มือสองอย่างเป็นระบบ | WINNER IT","รับซื้อการ์ดจอ โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-server-network-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช | /รับซื้อแรม-โคราช","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อคอมตั้งโต๊ะ-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อคอมตั้งโต๊ะ โคราช ประเมินผ่าน LINE","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อคอมตั้งโต๊ะ โคราช | Dell HP Lenovo ประเมินผ่าน LINE | WINNER IT","รับซื้อคอมตั้งโต๊ะ โคราช ประเมินผ่าน LINE","/รับซื้อ-cpu-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช","candidate","7","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"B2B","/รับซื้อคอมบริษัท-โคราช","B2B/bulk","/รับซื้อสินค้าไอทียกล็อต","รับซื้อคอมบริษัท โคราช","b2b; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","B2B","none","รับซื้อคอมบริษัท โคราช รับซื้อ IT Asset องค์กร | WINNER IT","รับซื้อคอมบริษัท โคราช","/ขายคอมหลายเครื่อง-โคราช | /รับซื้อสินค้าไอทียกล็อต | /รับซื้ออุปกรณ์สำนักงาน","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อคอมประกอบ-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อคอมประกอบ โคราช ตรวจสเปกจริง ประเมินผ่าน LINE","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อคอมประกอบ โคราช | ตรวจสเปกจริง ประเมินผ่าน LINE | WINNER IT","รับซื้อคอมประกอบ โคราช ตรวจสเปกจริง ประเมินผ่าน LINE","/รับซื้อ-cpu-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช","candidate","4","25","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อคอมพิวเตอร์-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อคอมพิวเตอร์ โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อคอมพิวเตอร์ โคราช | ตั้งโต๊ะ ประกอบ เกมมิ่ง | WINNER IT","รับซื้อคอมพิวเตอร์ โคราช ประเมินผ่าน LINE นัดรับตามสะดวก","/รับซื้อ-ssd-hdd-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อแรม-โคราช","candidate","88","28","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อคอมเกมมิ่ง-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อคอมเกมมิ่ง โคราช ตรวจการ์ดจอ ประเมินผ่าน LINE","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อคอมเกมมิ่ง โคราช | ตรวจการ์ดจอ ประเมินผ่าน LINE | WINNER IT","รับซื้อคอมเกมมิ่ง โคราช ตรวจการ์ดจอ ประเมินผ่าน LINE","/รับซื้อ-cpu-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช","candidate","4","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อคอมเก่า-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อคอมเก่า โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อคอมเก่า โคราช คอมตั้งโต๊ะรุ่นเก่า | WINNER IT","รับซื้อคอมเก่า โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-server-network-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อแรม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อจอมอนิเตอร์-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้อจอมอนิเตอร์ โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","none","รับซื้อจอมอนิเตอร์ โคราช จอคอมและจอเกมมิ่งมือสอง | WINNER IT","รับซื้อจอมอนิเตอร์ โคราช","/รับซื้อลำโพง-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อหูฟัง-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","candidate","4","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อลำโพง-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้อลำโพง โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","none","รับซื้อลำโพง โคราช ลำโพงบluetooth และลำโพงมือสอง | WINNER IT","รับซื้อลำโพง โคราช","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อหูฟัง-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CORE-SERVICE","/รับซื้อสินค้าไอที","Main service hub","/","รับซื้อสินค้าไอที โคราช","core service; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","CORE-SERVICE","none","รับซื้อสินค้าไอที โคราช บริการรับซื้อ IT ครบวงจร | WINNER IT","รับซื้อสินค้าไอที โคราช","","low/unverified","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P1","No volume, CPC, ranking or traffic estimate asserted"
"B2B","/รับซื้อสินค้าไอทียกล็อต","B2B/bulk","/รับซื้อสินค้าไอทียกล็อต","รับซื้อสินค้าไอทียกล็อต","b2b; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","B2B","none","รับซื้อสินค้าไอทียกล็อต โคราช | WINNER IT","รับซื้อสินค้าไอทียกล็อต","/ขายคอมหลายเครื่อง-โคราช | /รับซื้อคอมบริษัท-โคราช | /รับซื้ออุปกรณ์สำนักงาน","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","Product condition","/รับซื้อสินค้าไอที","รับซื้อสินค้าไอทีไม่มีอุปกรณ์ โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","รับซื้อสินค้าไอทีไม่มีอุปกรณ์ โคราช","รับซื้อสินค้าไอทีไม่มีอุปกรณ์ โคราช | WINNER IT","รับซื้อสินค้าไอทีไม่มีอุปกรณ์ โคราช","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อลำโพง-โคราช | /รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช | /รับซื้อหูฟัง-โคราช | /รับซื้อโน๊ตบุ๊ค-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช | /รับซื้อโน๊ตบุ๊คเสีย-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","Product condition","/รับซื้อสินค้าไอที","รับซื้อสินค้าไอทีไม่ได้ใช้งาน โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","รับซื้อสินค้าไอทีไม่ได้ใช้งาน โคราช","รับซื้อสินค้าไอทีไม่ได้ใช้งาน โคราช | WINNER IT","รับซื้อสินค้าไอทีไม่ได้ใช้งาน โคราช","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อลำโพง-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อโน๊ตบุ๊ค-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช | /รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช | /รับซื้อโน๊ตบุ๊คเสีย-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OTHER-PRODUCT","/รับซื้อหูฟัง-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้อหูฟัง โคราช","other product; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OTHER-PRODUCT","none","รับซื้อหูฟัง โคราช หูฟังไร้สายและเกมมิ่งมือสอง | WINNER IT","รับซื้อหูฟัง โคราช","/รับซื้อจอมอนิเตอร์-โคราช | /รับซื้อลำโพง-โคราช | /รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช | /รับซื้อโน๊ตบุ๊คจอแตก-โคราช | /รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OFFICE","/รับซื้ออุปกรณ์-pos-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้ออุปกรณ์ POS โคราช","office; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OFFICE","none","รับซื้ออุปกรณ์ POS โคราช เครื่องรับเงินและระบบขาย | WINNER IT","รับซื้ออุปกรณ์ POS โคราช","/รับซื้อเครื่องปริ้น-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้ออุปกรณ์คอมพิวเตอร์ โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้ออุปกรณ์คอมพิวเตอร์ โคราช อุปกรณ์เสริมและพาร์ท | WINNER IT","รับซื้ออุปกรณ์คอมพิวเตอร์ โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-server-network-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมพิวเตอร์-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้อเมนบอร์ด-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช | /รับซื้อแรม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"B2B","/รับซื้ออุปกรณ์สำนักงาน","B2B/bulk","/รับซื้อสินค้าไอทียกล็อต","รับซื้ออุปกรณ์สำนักงาน","b2b; transactional","Transactional","Decision","Primary LINE/phone conversion","none explicit","B2B","none","รับซื้ออุปกรณ์สำนักงาน โคราช | WINNER IT","รับซื้ออุปกรณ์สำนักงาน","/ขายคอมหลายเครื่อง-โคราช | /ขายอุปกรณ์ไอทียกสำนักงาน-โคราช | /บริษัทปิดกิจการขายอุปกรณ์ไอที | /รับซื้อคอมบริษัท-โคราช | /รับซื้อสินค้าไอทียกล็อต","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"OFFICE","/รับซื้อเครื่องปริ้น-โคราช","Product category","/รับซื้อสินค้าไอที","รับซื้อเครื่องปริ้น โคราช","office; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","OFFICE","none","รับซื้อเครื่องปริ้น โคราช เครื่องพิมพ์สำนักงานมือสอง | WINNER IT","รับซื้อเครื่องปริ้น โคราช","/รับซื้ออุปกรณ์-pos-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"GAMING","/รับซื้อเครื่องเกม-โคราช","Product category","/รับซื้อเครื่องเกม-โคราช","รับซื้อเครื่องเกม โคราช","gaming; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","GAMING","none","รับซื้อเครื่องเกม โคราช คอนโซลและอุปกรณ์เกมมิ่ง | WINNER IT","รับซื้อเครื่องเกม โคราช","/รับซื้อ-nintendo-switch-โคราช | /รับซื้อ-playstation-โคราช","candidate","88","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อเมนบอร์ด-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อเมนบอร์ด โคราช","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อเมนบอร์ด โคราช ประเมิน Mainboard Intel AMD มือสอง | WINNER IT","รับซื้อเมนบอร์ด โคราช","/รับซื้อ-cpu-โคราช | /รับซื้อ-server-network-โคราช | /รับซื้อ-ssd-hdd-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้อคอมเก่า-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเวิร์กสเตชัน-โคราช | /รับซื้อแรม-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CAMERA","/รับซื้อเลนส์กล้อง-โคราช","Product category","/รับซื้อกล้อง-โคราช","รับซื้อเลนส์กล้อง โคราช","camera; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","CAMERA","none","รับซื้อเลนส์กล้อง โคราช เลนส์ Canon Sony Nikon มือสอง | WINNER IT","รับซื้อเลนส์กล้อง โคราช","/รับซื้อกล้อง-โคราช","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"COMPUTER","/รับซื้อเวิร์กสเตชัน-โคราช","Product category","/รับซื้อคอมพิวเตอร์-โคราช","รับซื้อเวิร์กสเตชัน โคราช งานกราฟิก ตัดต่อ ประเมินผ่าน LINE","computer; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","COMPUTER","none","รับซื้อเวิร์กสเตชัน โคราช | งานกราฟิก ตัดต่อ ประเมินผ่าน LINE | WINNER IT","รับซื้อเวิร์กสเตชัน โคราช งานกราฟิก ตัดต่อ ประเมินผ่าน LINE","/รับซื้อ-cpu-โคราช | /รับซื้อการ์ดจอ-โคราช | /รับซื้อคอมตั้งโต๊ะ-โคราช | /รับซื้อคอมประกอบ-โคราช | /รับซื้อคอมเกมมิ่ง-โคราช | /รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช | /รับซื้อเมนบอร์ด-โคราช","candidate","2","26","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
