"Cluster","URL A","URL B","Candidate Type","Intent Relationship","Title similarity","H1 similarity","Raw Body Similarity","Boilerplate-adjusted Similarity","FAQ Similarity","Shared Product Entity","Shared Condition Entity","Shared Geographic Entity","Same Parent Hub","Internal anchor conflict","Query Evidence Available","Decision Eligible","Review Priority","Risk","Recommended winner","Recommended action","Requires GSC","Reason","Validation method"
"LOCATION","/พื้นที่/พิมาย","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.857","0.8","0.631","0.55","0.643","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.631; adjusted=0.55; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/พิมาย","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.519","0.427","0.556","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.519; adjusted=0.427; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/พิมาย","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.715","0.657","0.756","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.715; adjusted=0.657; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/พิมาย","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.671","0.612","0.675","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.671; adjusted=0.612; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","/พื้นที่/สีคิ้ว","Location template similarity","template-only","0.588","0.462","0.559","0.471","0.644","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.559; adjusted=0.471; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.588","0.462","0.707","0.64","0.651","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.707; adjusted=0.64; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.588","0.429","0.631","0.559","0.696","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.631; adjusted=0.559; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","/พื้นที่/โชคชัย","Location template similarity","template-only","0.588","0.462","0.626","0.556","0.643","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.626; adjusted=0.556; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","/พื้นที่/โนนสูง","Location template similarity","template-only","0.588","0.462","0.645","0.589","0.78","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.645; adjusted=0.589; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สีคิ้ว","/พื้นที่/สูงเนิน","Location template similarity","template-only","0.857","0.8","0.631","0.559","0.581","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.631; adjusted=0.559; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สีคิ้ว","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.576","0.542","0.609","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.576; adjusted=0.542; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สีคิ้ว","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.632","0.575","0.571","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.632; adjusted=0.575; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สีคิ้ว","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.597","0.503","0.585","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.597; adjusted=0.503; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สูงเนิน","/พื้นที่/เมืองนครราชสีมา","Location template similarity","template-only","0.714","0.545","0.647","0.58","0.591","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.647; adjusted=0.58; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สูงเนิน","/พื้นที่/โชคชัย","Location template similarity","template-only","0.857","0.8","0.648","0.588","0.65","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.648; adjusted=0.588; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/สูงเนิน","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.753","0.707","0.769","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.753; adjusted=0.707; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/เมืองนครราชสีมา","/พื้นที่/โชคชัย","Location template similarity","template-only","0.714","0.545","0.563","0.496","0.512","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.563; adjusted=0.496; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/เมืองนครราชสีมา","/พื้นที่/โนนสูง","Location template similarity","template-only","0.714","0.545","0.537","0.473","0.619","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.537; adjusted=0.473; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/โชคชัย","/พื้นที่/โนนสูง","Location template similarity","template-only","0.857","0.8","0.702","0.657","0.684","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.702; adjusted=0.657; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/ด่านขุนทด","Low relevance similarity","location-service","0.588","0.4","0.401","0.323","0.388","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.401; adjusted=0.323; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/บัวใหญ่","Low relevance similarity","location-service","0.588","0.4","0.409","0.383","0.435","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.409; adjusted=0.383; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/ปักธงชัย","Low relevance similarity","location-service","0.588","0.4","0.411","0.382","0.382","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.411; adjusted=0.382; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/พิมาย","Low relevance similarity","location-service","0.588","0.4","0.408","0.357","0.371","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.408; adjusted=0.357; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Low relevance similarity","location-service","0.5","0.308","0.41","0.358","0.444","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.41; adjusted=0.358; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/สีคิ้ว","Low relevance similarity","location-service","0.588","0.4","0.447","0.378","0.389","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.447; adjusted=0.378; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/สูงเนิน","Low relevance similarity","location-service","0.588","0.4","0.468","0.375","0.382","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.468; adjusted=0.375; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/เมืองนครราชสีมา","Low relevance similarity","location-service","0.588","0.364","0.502","0.383","0.459","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.502; adjusted=0.383; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/โชคชัย","Low relevance similarity","location-service","0.588","0.4","0.414","0.387","0.424","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.414; adjusted=0.387; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/โนนสูง","Low relevance similarity","location-service","0.588","0.4","0.398","0.323","0.469","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.398; adjusted=0.323; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/B2B","/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","/รับซื้อสินค้าไอทียกล็อต","Informational-service overlap","informational-transactional","0.2","0","0.388","0.395","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.388; adjusted=0.395; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/B2B","/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","/รับซื้ออุปกรณ์สำนักงาน","Informational-service overlap","informational-transactional","0.333","0.154","0.443","0.343","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.443; adjusted=0.343; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/B2B","/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","/รับซื้อสินค้าไอทียกล็อต","Informational-service overlap","informational-transactional","0.19","0","0.424","0.344","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.424; adjusted=0.344; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/CAMERA","/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","/รับซื้อกล้อง-โคราช","Informational-service overlap","informational-transactional","0.5","0.167","0.371","0.356","0","กล้อง","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.371; adjusted=0.356; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/COMPUTER","/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","/รับซื้อการ์ดจอ-โคราช","Informational-service overlap","informational-transactional","0.48","0.267","0.335","0.351","0","การ์ดจอ","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.335; adjusted=0.351; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/CORE-SERVICE","/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","/รับซื้อสินค้าไอที","Informational-service overlap","informational-transactional","0.381","0.286","0.394","0.39","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.394; adjusted=0.39; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/SELLER-JOURNEY","/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","/วิธีขายสินค้า","Informational-service overlap","informational-transactional","0.476","0.462","0.4","0.378","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.4; adjusted=0.378; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/COMPUTER","/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","/รับซื้อคอมพิวเตอร์-โคราช","Informational-service overlap","informational-transactional","0.333","0.133","0.377","0.297","0","คอมพิวเตอร์","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.377; adjusted=0.297; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/OTHER-PRODUCT","/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","/รับซื้อโน๊ตบุ๊ค-โคราช","Informational-service overlap","informational-transactional","0.211","0","0.38","0.318","0","none","none","none","No","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.38; adjusted=0.318; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/MOBILE-APPLE","/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","/รับซื้อ-iphone-โคราช","Informational-service overlap","informational-transactional","0.3","0.125","0.363","0.339","0","iphone","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.363; adjusted=0.339; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/OTHER-PRODUCT","/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","/รับซื้อโน๊ตบุ๊ค-โคราช","Informational-service overlap","informational-transactional","0.476","0.333","0.373","0.41","0","โน๊ตบุ๊ค","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.373; adjusted=0.41; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/OTHER-PRODUCT","/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","/รับซื้อโน๊ตบุ๊ค-โคราช","Informational-service overlap","informational-transactional","0.261","0.1","0.354","0.375","0","none","none","none","No","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.354; adjusted=0.375; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/COMPUTER","/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","/รับซื้อคอมพิวเตอร์-โคราช","Informational-service overlap","informational-transactional","0.182","0.105","0.352","0.354","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.352; adjusted=0.354; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/SELLER-JOURNEY","/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","/ส่งสินค้าไอทีมาประเมิน","Informational-service overlap","informational-transactional","0.333","0.154","0.363","0.268","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.363; adjusted=0.268; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"CONTENT/SELLER-JOURNEY","/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","/วิธีขายสินค้า","Informational-service overlap","informational-transactional","0.455","0.429","0.465","0.332","0","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.465; adjusted=0.332; relationship=informational-transactional","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายคอมหลายเครื่อง-โคราช","/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","Low relevance similarity","sibling-distinct","0.421","0.364","0.962","0.814","0.88","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.962; adjusted=0.814; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายคอมหลายเครื่อง-โคราช","/บริษัทปิดกิจการขายอุปกรณ์ไอที","Low relevance similarity","sibling-distinct","0.4","0.182","0.968","0.843","0.5","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.968; adjusted=0.843; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายคอมหลายเครื่อง-โคราช","/รับซื้อสินค้าไอทียกล็อต","Parent-child overlap","parent-child","0.476","0","0.973","0.894","0.5","none","none","none","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.973; adjusted=0.894; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายคอมหลายเครื่อง-โคราช","/รับซื้ออุปกรณ์สำนักงาน","Low relevance similarity","sibling-distinct","0.556","0","0.961","0.847","0.5","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.961; adjusted=0.847; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","/รับซื้อสินค้าไอทียกล็อต","Parent-child overlap","parent-child","0.444","0.154","0.961","0.796","0.462","none","none","none","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.961; adjusted=0.796; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","/รับซื้ออุปกรณ์สำนักงาน","Potential cannibalization","sibling-distinct","0.667","0.4","0.984","0.886","0.462","สำนักงาน","none","none","Yes","not detected","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.984; adjusted=0.886; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/บริษัทปิดกิจการขายอุปกรณ์ไอที","/รับซื้อสินค้าไอทียกล็อต","Parent-child overlap","parent-child","0.316","0","0.967","0.816","1","none","none","none","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.967; adjusted=0.816; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/บริษัทปิดกิจการขายอุปกรณ์ไอที","/รับซื้ออุปกรณ์สำนักงาน","Low relevance similarity","sibling-distinct","0.5","0.2","0.973","0.856","1","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.973; adjusted=0.856; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-apple-watch-โคราช","/รับซื้อ-ipad-โคราช","Internal-link overlap","sibling-distinct","0.88","0.857","0.852","0.563","0.901","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.852; adjusted=0.563; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-apple-watch-โคราช","/รับซื้อ-iphone-โคราช","Internal-link overlap","sibling-distinct","0.88","0.857","0.853","0.593","0.817","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.853; adjusted=0.593; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-apple-watch-โคราช","/รับซื้อ-macbook-โคราช","Internal-link overlap","sibling-distinct","0.88","0.857","0.832","0.584","0.86","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.832; adjusted=0.584; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-apple-watch-โคราช","/รับซื้อแท็บเล็ต-โคราช","Internal-link overlap","sibling-distinct","0.667","0.857","0.878","0.618","0.867","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.878; adjusted=0.618; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อ-cpu-โคราช","/รับซื้อเมนบอร์ด-โคราช","Low relevance similarity","sibling-distinct","0.833","0.75","0.865","0.618","0.963","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.865; adjusted=0.618; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อ-cpu-โคราช","/รับซื้อแรม-โคราช","Low relevance similarity","sibling-distinct","0.609","0.75","0.855","0.61","0.963","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.855; adjusted=0.61; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","/รับซื้อแท็บเล็ต-โคราช","Internal-link overlap","sibling-distinct","0.727","0.632","0.851","0.6","0.876","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.851; adjusted=0.6; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","/รับซื้อโทรศัพท์-android-โคราช","Internal-link overlap","sibling-distinct","0.762","0.706","0.828","0.496","0.817","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.828; adjusted=0.496; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","/รับซื้อโทรศัพท์-oppo-โคราช","Internal-link overlap","sibling-distinct","0.762","0.706","0.852","0.516","0.844","none","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.852; adjusted=0.516; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
